KOEN1
384
1869
<CIRCLE 335 98 2.52269 0 0.000178774>; 0 2 50 13 3 11 37 0 1 1 58 28 4 10 40 7 62 8 45 4 0 1 18 125 27 2 5 1 21 54 39 68 0 3 88 1 0 32 125 0 2 27 65 1 1 32 125 21 42 21 3 1 1 1 119 125 17 0 5 27 57 43 8 49 2 6 125 24 0 1 5 1 71 108 125 5 0 1 15 36 63 125 19 13 4 0 11 26 1 11 24 125 71 1 0 2 10 0 5 10 4 3 5 25 117 13 1 0 0 2 3 92 29 36 24 11 14 32 5 19 0 6 19 63 65 5 0 0 1 37 49 0 0 5 39 3 0 19 84 26 1 4 41 4 64 12 50 20 1 3 17 63 36 3 4 1 10 46 16 46 0 19 66 0 0 12 123 8 4 34 34 1 0 15 123 14 37 5 1 0 1 12 123 123 19 0 7 13 14 50 22 65 24 57 116 0 0 0 3 11 97 79 55 0 0 0 16 105 52 12 1 7 18 5 36 98 0 2 25 104 97 5 6 9 59 4 0 0 0 0 15 52 123 27 1 0 0 2 7 123 26 13 4 20 67 35 18 44 0 0 1 66 123 5 0 0 9 13 31 0 0 2 36 37 8 14 38 8 6 8 49 31 0 1 16 115 79 21 38 2 13 55 42 67 29 2 5 1 2 38 131 0 0 3 83 4 1 43 131 25 2 25 72 2 0 1 118 131 47 28 7 1 37 44 9 53 21 1 7 27 5 1 7 1 1 4 131 57 0 2 17 32 44 119 131 14 1 1 12 23 32 131 26 7 50 1 0 2 1 27 29 107 14 1 5 36 3 0 2 29 1 6 7 131 65 7 2 3 5 41 9 21 17 66 16 4 33 4 1 0 0 29 26 32;
<CIRCLE 332 102 2.52269 0 0.000165277>; 0 1 11 1 1 25 123 1 0 0 12 7 2 35 123 0 27 1 4 3 1 9 123 116 49 0 0 0 19 22 19 123 0 13 123 9 0 9 68 0 9 46 123 10 0 15 111 2 49 123 49 0 0 3 103 58 15 23 5 52 27 4 8 43 0 2 57 32 8 3 1 2 81 21 68 13 0 0 1 72 116 87 18 0 2 11 7 76 6 45 41 72 50 7 0 0 0 0 0 2 17 31 17 17 68 23 4 0 0 1 6 74 58 65 24 4 6 20 3 20 0 5 23 54 46 23 0 0 0 6 11 0 0 25 114 2 1 12 18 2 0 4 114 11 19 2 10 8 1 16 114 50 50 1 0 0 5 20 19 99 1 39 114 2 0 7 47 1 20 80 114 0 0 1 86 18 51 43 13 0 0 8 106 69 8 0 2 25 25 8 29 60 26 21 28 1 0 0 6 17 114 26 19 0 0 0 0 114 92 12 1 2 9 13 26 114 3 0 0 62 114 11 6 11 8 0 0 0 1 25 76 33 114 54 8 1 2 2 9 52 70 106 41 10 20 14 6 21 0 3 15 66 114 14 0 0 3 25 122 1 0 3 10 6 8 47 122 1 0 0 7 11 1 10 122 115 37 4 2 2 12 22 19 122 54 0 0 0 1 9 68 0 0 13 122 20 0 18 113 2 5 39 122 23 0 4 103 58 25 122 67 0 15 3 8 43 13 44 10 43 22 0 1 2 0 2 40 68 4 0 3 82 44 20 71 36 1 18 10 73 68 122 20 0 25 7 1 0 2 103 38 42 26 18 16 32 1 0 0 15 1 0 8 122 33 8 2 1 4 29 6 38 30 16 25 6 10 22 3 0 0 17 29 25;
<CIRCLE 345 88 2.52269 0 0.000151593>; 0 12 123 5 0 0 5 3 0 5 123 58 0 4 8 1 4 27 123 23 0 1 16 3 5 8 100 38 6 12 11 5 9 8 123 29 1 1 3 12 60 17 118 18 1 13 30 117 50 17 37 6 14 66 49 44 67 11 9 5 21 52 14 35 12 3 6 4 2 15 123 72 84 0 0 1 13 14 44 123 37 4 2 6 101 108 23 34 71 18 5 9 31 14 7 16 30 85 53 0 0 2 60 23 21 44 5 31 16 1 16 45 1 6 50 116 52 18 5 4 8 26 78 23 7 3 4 7 0 5 117 34 4 1 0 0 0 3 117 71 2 6 7 0 3 34 117 21 0 1 12 6 3 9 96 48 11 11 4 5 5 12 117 55 1 1 3 3 79 26 105 32 1 12 12 60 51 16 27 6 13 59 17 29 57 5 8 6 27 63 11 31 8 5 13 9 1 21 117 35 101 2 2 2 3 20 66 117 39 1 2 2 33 117 37 70 54 5 2 0 6 51 35 94 43 48 21 0 0 4 70 45 16 1 0 18 24 6 49 82 4 24 73 92 38 20 13 16 11 98 95 12 2 8 8 24 0 0 5 4 0 20 121 6 0 2 6 1 0 11 121 53 0 2 12 3 5 25 121 26 4 13 11 7 6 9 96 31 2 1 2 9 16 33 121 21 0 12 30 101 65 30 103 18 8 63 54 53 52 14 33 8 15 49 19 53 68 8 7 5 2 19 121 76 19 4 5 2 7 14 42 121 98 2 0 1 65 113 27 41 41 1 3 7 28 12 6 18 68 10 8 27 0 3 64 23 15 99 70 1 8 0 16 47 14 78 11 26 38 16 4 4 1 2 55 105 7 2 3 5 3 5 90 48;
<CIRCLE 340 86 5.04538 0 0.000140469>; 21 4 3 0 0 0 94 58 16 4 10 1 0 29 97 59 19 15 13 7 11 23 91 21 0 0 13 8 23 47 57 15 0 8 120 14 0 3 87 22 7 16 120 22 0 9 50 40 11 22 120 21 3 14 57 35 2 3 85 61 41 29 20 6 0 9 120 8 0 19 98 0 39 40 75 12 1 15 100 110 18 13 34 59 22 24 47 97 2 1 23 57 108 22 3 6 9 9 67 7 5 35 21 9 108 58 38 23 3 3 4 24 13 13 42 120 31 0 0 3 0 2 36 78 16 0 0 1 40 11 3 0 0 1 45 56 30 5 7 4 18 114 28 42 24 7 7 5 11 57 59 41 0 0 10 13 21 30 36 30 6 37 114 1 0 4 40 25 11 38 114 30 5 21 16 24 7 18 114 31 5 20 38 35 0 2 73 72 28 50 15 8 6 25 95 6 0 20 71 7 42 27 56 3 3 1 102 112 12 19 37 29 17 11 77 104 2 15 28 36 70 106 21 16 30 20 49 2 2 16 84 26 114 48 26 19 29 5 13 80 6 32 47 112 114 3 5 15 1 42 57 59 28 1 0 0 0 0 87 48 27 13 2 0 0 11 66 51 18 16 12 2 11 17 72 16 6 14 20 11 23 57 50 13 0 0 13 9 0 4 83 18 0 12 119 28 1 8 46 41 10 29 119 35 3 10 52 43 15 28 119 18 44 29 19 10 3 4 78 55 1 24 95 1 0 12 110 19 2 23 96 118 38 55 77 19 12 15 50 115 24 21 34 68 87 16 4 9 2 1 17 113 8 34 28 16 4 9 60 21 1 3 6 51 66 63 47 19 6 0 0 4 11 22 48 119 14 0 1 6 2 0 13 115;
<CIRCLE 333 102 2.52269 0 0.000114198>; 0 1 11 2 1 26 121 0 0 0 11 7 3 33 121 3 37 1 3 2 1 5 113 121 40 0 0 1 28 31 18 115 0 10 121 10 0 9 70 0 14 63 121 7 0 14 114 5 50 121 31 1 0 2 90 68 11 15 7 68 36 7 4 33 1 1 60 32 6 2 1 4 100 28 59 9 0 0 1 86 97 93 20 2 3 14 7 59 3 34 38 89 66 4 0 0 2 0 0 2 12 21 17 24 80 32 5 0 0 0 3 70 43 58 28 7 10 27 3 13 0 2 19 62 50 18 0 0 0 7 11 0 0 21 115 3 1 11 19 4 0 6 115 10 29 2 9 7 1 14 113 70 43 1 0 0 7 29 16 88 2 43 115 1 0 5 51 2 27 83 104 0 0 2 90 21 48 32 7 0 0 7 104 81 5 0 7 36 30 11 22 49 35 22 27 0 0 0 5 22 115 25 16 0 0 0 2 115 72 9 0 5 16 17 28 115 1 0 2 77 115 8 3 6 15 0 0 0 1 19 65 38 115 73 11 1 1 1 5 49 51 91 45 17 34 18 6 16 0 0 10 70 115 11 0 0 4 28 123 0 0 2 9 7 7 45 123 4 0 0 7 10 0 6 109 123 50 4 2 1 17 32 19 113 46 0 0 1 0 10 72 0 0 10 123 24 0 18 119 4 8 57 123 18 0 2 92 70 26 123 47 0 21 6 4 34 10 31 13 59 21 0 1 4 0 1 44 70 2 0 4 98 58 29 67 26 2 22 10 56 57 123 19 0 37 4 0 0 1 84 38 55 20 12 16 45 1 0 0 13 0 0 6 123 40 11 4 0 5 37 6 26 22 16 29 9 11 16 3 0 0 16 30 29;
<CIRCLE 191 241 2.52269 0 0.000100715>; 5 12 31 109 96 2 0 0 123 111 27 16 2 0 0 5 97 55 21 19 5 24 9 15 3 23 24 8 4 10 1 2 1 5 2 15 123 123 42 4 123 80 8 0 2 17 97 22 123 116 9 8 42 40 17 27 3 7 9 5 38 36 12 4 0 6 13 2 19 123 107 11 25 16 10 2 0 74 123 40 75 73 10 5 6 27 109 99 4 5 8 7 9 37 47 13 3 9 14 6 1 2 2 5 5 14 19 4 1 4 25 10 9 35 17 7 4 2 19 19 0 9 20 13 19 8 4 2 0 0 18 123 98 1 0 0 31 102 51 33 5 0 0 1 44 123 87 0 0 0 1 9 16 96 50 0 0 0 0 2 0 0 1 18 123 119 40 0 47 20 9 5 11 24 123 53 95 23 4 0 0 0 50 123 36 23 2 0 0 0 50 69 0 0 1 1 30 123 118 3 5 0 0 0 0 32 123 38 24 2 1 0 0 4 123 123 1 3 7 1 0 2 69 72 5 7 5 0 0 4 13 3 2 2 7 0 0 7 38 6 4 9 14 6 2 2 18 13 0 4 30 21 2 0 2 3 63 2 0 0 16 16 39 120 1 0 0 10 120 103 27 15 8 36 18 19 80 39 12 29 4 15 5 2 7 11 13 10 113 120 37 7 10 11 1 16 0 16 80 22 120 120 8 0 45 55 24 29 120 120 14 10 52 49 5 1 2 3 5 9 19 116 106 17 1 4 9 4 0 77 120 47 28 26 16 3 10 27 81 98 83 100 16 8 18 48 19 8 4 7 10 11 9 23 14 1 1 2 6 7 1 4 36 18 6 13 21 7 4 6 23 25 13 39 15 6 18 13 5 2 0 13 17 14;
<CIRCLE 182 201 1.06066 0 9.94626e-05>; 6 112 66 16 4 0 0 0 9 119 97 0 0 0 0 0 0 92 119 6 28 20 0 0 12 25 36 25 56 36 1 0 43 56 37 24 23 1 0 3 116 83 38 0 0 3 36 63 7 60 106 3 1 42 119 16 3 31 73 23 12 36 21 0 71 4 0 4 15 42 18 46 119 22 1 0 0 1 23 100 45 27 14 29 23 55 107 25 0 4 3 31 97 77 18 0 13 0 0 0 7 45 65 58 89 21 13 1 0 1 9 70 14 22 52 60 8 0 0 1 0 0 3 65 83 1 0 0 0 119 75 9 2 0 0 0 4 119 107 0 0 0 0 0 0 84 102 6 29 13 0 0 13 19 22 10 49 38 1 0 39 54 23 8 23 5 3 12 104 74 27 0 0 1 36 93 7 61 64 1 0 19 119 27 13 18 38 9 9 23 49 16 47 0 0 0 6 79 48 66 119 3 0 0 0 0 26 119 59 9 3 2 7 37 119 46 2 0 0 1 29 105 58 5 4 0 0 0 1 110 93 52 71 7 4 0 0 3 24 116 31 22 32 7 4 1 0 9 0 1 6 19 44 18 0 0 5 0 0 0 16 119 37 9 0 0 0 0 14 119 75 0 24 28 0 0 0 87 119 7 57 45 2 0 13 24 34 26 18 0 0 1 41 82 23 24 0 6 33 51 118 88 34 0 2 55 107 13 7 52 113 3 18 36 16 0 2 24 82 29 21 23 5 18 87 27 1 7 0 2 20 47 119 76 4 0 17 61 89 17 36 48 31 49 99 64 13 0 0 3 8 62 14 35 46 42 28 0 0 0 0 1 8 32 105 51 16 0 3 0 0 0 8 37 82 63 62 5 0 0 0 0 9 90;
<CIRCLE 193 243 1.78381 0 9.57156e-05>; 15 25 17 1 1 0 2 1 127 86 7 0 0 0 3 14 127 22 2 5 56 72 16 27 5 10 6 4 38 30 2 0 5 2 2 0 0 39 127 46 127 124 2 0 0 61 104 22 118 127 37 23 44 13 12 27 3 3 4 6 33 56 20 5 9 12 8 2 1 50 127 40 17 32 19 1 0 119 127 34 44 47 8 3 4 12 115 125 3 4 8 7 7 36 35 12 2 6 16 11 3 4 11 5 7 37 28 4 1 5 32 11 7 59 25 8 7 3 15 13 0 14 19 17 21 19 1 0 3 7 13 11 22 13 14 4 123 49 10 0 0 0 7 55 66 19 8 0 0 6 40 66 64 32 2 0 0 2 20 32 0 0 0 0 4 46 135 21 103 0 0 0 0 23 135 135 101 0 0 0 0 5 75 135 9 0 0 0 0 2 110 104 0 0 0 0 0 30 135 31 9 3 0 0 0 48 135 55 21 4 0 0 0 1 132 135 2 5 5 2 0 0 64 73 1 1 1 0 0 10 26 8 5 11 0 0 0 9 31 9 5 30 17 4 1 1 17 12 0 10 27 20 5 0 3 3 0 0 1 1 26 46 18 0 0 0 4 17 123 117 9 0 48 95 30 33 109 23 2 5 37 42 4 2 7 3 3 3 0 38 123 53 5 9 4 0 0 65 81 17 123 123 4 0 48 15 8 24 115 123 52 30 53 50 4 2 2 2 5 11 1 49 117 47 6 19 14 2 0 121 123 38 20 39 24 2 6 8 88 121 51 57 12 4 16 35 15 8 4 4 10 11 2 2 16 4 0 6 21 15 0 2 34 17 9 42 32 4 7 2 13 13 10 64 26 8 20 19 1 0 0 13 20 22;
<CIRCLE 363 81 3.56762 0 9.20606e-05>; 15 19 5 6 7 19 98 24 3 0 7 6 20 26 83 59 0 0 13 5 59 83 123 3 0 0 15 2 8 12 130 12 4 16 130 24 0 10 58 10 4 9 130 76 16 23 44 10 0 0 130 70 15 26 55 0 0 4 130 20 1 1 64 3 32 13 48 4 6 38 53 73 39 7 19 20 82 83 13 27 0 0 40 30 130 60 0 0 1 5 55 9 15 6 3 1 8 6 20 67 35 27 11 37 12 14 56 61 65 8 1 3 0 0 3 67 130 3 0 0 4 3 1 5 7 2 3 2 25 10 2 2 6 34 76 50 2 1 6 8 11 30 74 73 0 0 10 34 50 74 60 7 1 0 12 12 16 17 124 10 3 20 121 24 1 13 41 20 3 10 124 110 25 25 24 15 0 0 124 86 15 34 28 0 1 7 124 14 0 2 50 4 26 14 41 5 0 19 49 73 14 5 18 24 48 124 40 56 0 0 45 24 59 124 7 3 6 6 44 4 2 8 5 26 7 15 28 42 21 17 36 57 11 61 65 38 37 65 23 39 0 1 7 80 124 105 3 0 2 1 5 17 13 7 5 5 6 16 84 15 4 20 11 12 20 28 68 51 8 0 8 8 57 94 121 2 0 0 13 4 7 15 128 11 0 0 14 3 1 8 50 8 5 17 128 25 12 25 40 13 5 10 128 60 18 31 54 0 0 0 128 70 3 2 64 2 0 12 128 34 2 28 64 85 35 14 44 5 71 75 21 43 35 7 17 30 128 58 0 0 0 0 30 52 32 15 5 1 3 11 45 18 18 23 14 40 10 7 24 66 45 5 2 4 7 1 56 125 80 1 0 0 2 4 7 122 6 7 8 2 7 7 3 6;
<CIRCLE 111 114 1.26134 0 9.0766e-05>; 0 0 75 52 0 1 20 12 0 0 66 128 36 20 9 2 15 37 18 52 46 6 15 42 18 22 10 8 6 1 20 99 2 6 128 93 2 1 0 0 98 65 128 72 1 0 5 39 35 20 60 36 4 0 57 128 10 5 128 52 0 0 8 85 4 7 42 26 27 26 0 0 73 128 81 6 1 2 0 5 17 86 128 69 0 0 0 10 0 4 128 93 0 0 0 0 0 0 11 19 9 30 27 0 4 8 20 12 3 9 19 3 22 18 37 3 0 4 10 13 0 12 17 4 0 8 12 1 0 0 45 24 3 17 22 2 0 0 20 46 59 68 10 0 8 12 0 4 39 64 38 36 5 5 1 5 8 7 83 63 0 11 139 41 1 0 0 0 50 108 127 38 7 2 8 13 22 20 81 40 5 9 72 67 3 4 139 51 0 1 35 47 0 12 89 60 17 0 0 0 21 139 139 19 0 0 0 0 8 69 139 81 0 0 0 1 0 10 139 70 0 0 0 0 0 0 12 42 10 47 37 0 2 6 50 29 6 24 44 7 19 26 55 3 0 2 35 40 1 13 22 2 0 6 37 4 1 3 29 5 0 0 62 65 31 24 10 2 0 1 58 121 35 9 12 52 18 44 14 38 7 1 23 103 18 23 8 7 4 3 0 0 2 4 121 111 0 0 4 53 102 56 111 71 1 0 50 121 35 23 55 30 0 0 9 91 8 4 121 52 29 62 2 0 4 3 25 19 4 12 2 9 81 121 56 3 0 0 1 15 22 103 121 60 1 1 0 0 0 1 121 96 18 64 41 0 0 0 0 7 9 35 43 13 3 6 6 1 0 7 33 58 14 17 18 2 1 21 37 2 0 0 5 3;
